Source,Target,nt_type,Weight,Color
put_WED_pr02,GF,GABA,181,#D93636
put_WED-VLP,put_WED_pr02,ACH,179,#27EBF5
WV-WV-1,WV-WV-2,GABA,177,#D93636
WV-WV-3,SAD_pr02,GABA,172,#D93636
SAD_pr02,B1-3,GABA,162,#D93636
AVLP_pr01,A2,GABA,159,#D93636
B2,B1-4,GLUT,159,#FC6EFF
B1-2,B1-2,ACH,158,#27EBF5
vpoIN,pC1e,GABA,158,#D93636
B1-5,AVLP_pr04,ACH,158,#27EBF5
AVLP_pr36,PVLP_pr03,ACH,157,#27EBF5
WED-VLP-1,put_AVLP_pr01,ACH,155,#27EBF5
IPS_pr01,WED_pr01,GABA,155,#D93636
AVLP_pr01,AVLP_pr01,GABA,154,#D93636
B1,B1,ACH,153,#27EBF5
put_B1,WED-VLP-2,ACH,152,#27EBF5
WV-WV-1,WV-WV-3,GABA,151,#D93636
B1-5,B1,ACH,150,#27EBF5
put_WED_pr02,WV-WV-3,GABA,149,#D93636
put_WED_pr02,B1-1,GABA,148,#D93636
B1-4,B1-4,ACH,147,#27EBF5
put_AVLP_pr18,put_AVLP_pr18,ACH,146,#27EBF5
put_PVLP_pr03,A1,GABA,144,#D93636
WED-VLP-2,pC2lb,ACH,144,#27EBF5
B1,WED_pr01,ACH,144,#27EBF5
WV-WV-1,B1-2,GABA,143,#D93636
AVLP_pr36,pMN1,ACH,139,#27EBF5
B1,WED_pr02,ACH,137,#27EBF5
B1-5,GF,ACH,132,#27EBF5
A2,WV-WV-2,ACH,132,#27EBF5
put_WED-VLP,WED_pr02,ACH,132,#27EBF5
WED_pr02,put_B1,GABA,132,#D93636
put_WED-VLP,put_AVLP_pr31,ACH,131,#27EBF5
SAD_pr02,B1-5,GABA,131,#D93636
AVLP_pr36,pC1d,ACH,128,#27EBF5
put_WED_pr02,put_AVLP_pr23,GABA,128,#D93636
pC2lb,put_AVLP_pr36,ACH,127,#27EBF5
AVLP_pr36,put_AVLP_pr36,ACH,127,#27EBF5
sad_pr0,WV-WV-3,GABA,127,#D93636
WED_pr02,GF,GABA,127,#D93636
IPS_pr02,B1,GABA,126,#D93636
A2,AVLP_pr23,ACH,126,#27EBF5
B1,put_WED_pr02,ACH,123,#27EBF5
B1-1,WED_pr02,ACH,123,#27EBF5
put_WED-VLP,AVLP_pr31,ACH,123,#27EBF5
AVLP_pr02,pC2lb,GABA,122,#D93636
put_IPS_pr01,WED_pr01,GABA,122,#D93636
WV-WV-2,WV-WV-1,GABA,120,#D93636
B1-1,put_AVLP_pr23,ACH,120,#27EBF5
WV-WV-3,B1-5,GABA,120,#D93636
WV-WV-3,WV-WV-1,GABA,118,#D93636
AVLP_pr01,AVLP_pr02,GABA,116,#D93636
WED-VLP-1,put_WED-VLP,ACH,115,#27EBF5
put_B1,WED_pr02,ACH,115,#27EBF5
A2,put_AVLP_pr23,ACH,111,#27EBF5
pC1d,AVLP_pr36,ACH,110,#27EBF5
put_vpoIN,pC2lb,GABA,110,#D93636
put_PVLP_pr03,GF,GABA,109,#D93636
WV-WV-3,WV-WV-2,GABA,107,#D93636
WED_pr02,B1,GABA,105,#D93636
AVLP_pr01,vpoIN,GABA,104,#D93636
WV-WV-1,put_AVLP_pr23,GABA,103,#D93636
B1,A1,ACH,102,#27EBF5
WED-VLP-1,AVLP_pr32,ACH,102,#27EBF5
put_WED_pr02,B1-5,GABA,101,#D93636
B1-4,WED_pr01,ACH,99,#27EBF5
put_B1,WED_pr01,ACH,98,#27EBF5
put_AVLP_pr36,put_AVLP_pr36,ACH,98,#27EBF5
put_IPS_pr01,put_WED_pr01,GABA,97,#D93636
put_vpoIN,pMN2,GABA,97,#D93636
pMN2,pC1d,ACH,96,#27EBF5
AVLP_pr23,A1,ACH,94,#27EBF5
B1-1,B1-1,ACH,93,#27EBF5
B1-2,WED-VLP-1,ACH,90,#27EBF5
B1-1,AVLP_pr23,ACH,89,#27EBF5
AVLP_pr36,AVLP_pr12,ACH,89,#27EBF5
B1-3,SAD_pr02,ACH,88,#27EBF5
SAD_pr02,B1-4,GABA,87,#D93636
AVLP_pr01,put_AVLP_pr01,GABA,86,#D93636
pC2lc,pMN1,ACH,86,#27EBF5
B1-4,SAD_pr02,ACH,85,#27EBF5
put_WED-VLP,pC2lb,ACH,82,#27EBF5
put_WED-VLP,put_AVLP_pr01,ACH,82,#27EBF5
B1-3,AVLP_pr23,ACH,81,#27EBF5
pC2lb,PVLP_pr03,ACH,80,#27EBF5
put_AVLP_pr23,AVLP/PVLP_pr01,ACH,80,#27EBF5
WV-WV-2,SAD_pr02,GABA,79,#D93636
vpoIN,pMN1,GABA,78,#D93636
B1,WV-WV-2,ACH,78,#27EBF5
B1-3,put_AVLP_pr23,ACH,77,#27EBF5
WED_pr01,IPS/WED_pr01,ACH,75,#27EBF5
WV-WV-1,AVLP_pr23,GABA,75,#D93636
put_B1,put_WED_pr02,ACH,74,#27EBF5
put_AVLP_pr23,A1,ACH,73,#27EBF5
AVLP_pr36,pC2la,ACH,71,#27EBF5
put_WED-VLP,WV-WV-1,ACH,71,#27EBF5
B1-5,A1,ACH,70,#27EBF5
pC2la,pC2la,ACH,70,#27EBF5
WED_pr02,put_AVLP_pr23,GABA,69,#D93636
put_AVLP_pr36,AVLP_pr12,ACH,69,#27EBF5
put_AVLP_pr23,AVLP_pr23,ACH,69,#27EBF5
WED-VLP-1,WV-WV-1,ACH,69,#27EBF5
AVLP_pr01,AVLP_pr22,GABA,69,#D93636
B1,B1-5,ACH,67,#27EBF5
put_WED_pr02,AVLP_pr23,GABA,67,#D93636
put_AVLP_pr36,AVLP_pr36,ACH,66,#27EBF5
SAD_pr02,B1,GABA,66,#D93636
pC2la,pC1d,ACH,65,#27EBF5
B1-1,B1-2,ACH,65,#27EBF5
put_B1,put_WED-VLP,ACH,64,#27EBF5
IPS_pr02,IPS_pr01,GABA,64,#D93636
SAD_pr02,B1-2,GABA,64,#D93636
WED-VLP-2,put_AVLP_pr22,ACH,64,#27EBF5
SAD_pr02,WV-WV-1,GABA,63,#D93636
put_AVLP_pr36,pMN1,ACH,62,#27EBF5
B2,B2,GABA,62,#D93636
WV-WV-2,WED-VLP-2,GABA,62,#D93636
put_vpoIN,pC1e,GABA,61,#D93636
pC2lb,pMN2,ACH,61,#27EBF5
WED-VLP-2,AVLP_pr22,ACH,60,#27EBF5
B1-1,WED-VLP-2,ACH,60,#27EBF5
B1-4,put_WED_pr01,ACH,59,#27EBF5
WV-WV-2,B1-5,GABA,59,#D93636
put_WED-VLP,WED-VLP-1,ACH,58,#27EBF5
AVLP_pr12,AVLP_pr12,ACH,55,#27EBF5
WED_pr01,put_WED_pr01,ACH,55,#27EBF5
AVLP_pr23,put_AVLP_pr23,ACH,53,#27EBF5
AVLP_pr02,pMN2,GABA,52,#D93636
B1-4,B1,ACH,51,#27EBF5
pC2lb,put_PVLP_pr03,ACH,51,#27EBF5
B2,WV-WV-3,GABA,51,#D93636
B1-1,AVLP_pr01,ACH,50,#27EBF5
put_B1,WV-WV-2,ACH,49,#27EBF5
B1,put_WED-VLP,ACH,49,#27EBF5
AVLP/PVLP_pr01,A1,ACH,48,#27EBF5
B1-3,B1-5,ACH,48,#27EBF5
B2,put_B1,GABA,47,#D93636
B1-5,WV-WV-1,ACH,47,#27EBF5
put_AVLP_pr23,put_AVLP/PVLP,ACH,46,#27EBF5
B1-2,SAD_pr02,ACH,45,#27EBF5
WED_pr01,put_IPS/WED_pr01,ACH,44,#27EBF5
WV-WV-3,put_AVLP/PVLP,GABA,44,#D93636
vpoIN,AVLP_pr36,GABA,44,#D93636
B1,put_AVLP_pr23,ACH,43,#27EBF5
vpoIN,pC1d,GABA,43,#D93636
pC2lb,pC2lc,ACH,43,#27EBF5
WED-VLP-2,WED-VLP-2,ACH,42,#27EBF5
B1-3,B1-3,ACH,41,#27EBF5
WED-VLP-2,AVLP_pr31,ACH,41,#27EBF5
B2,B2,GLUT,41,#FC6EFF
WED_pr02,AVLP_pr23,GABA,41,#D93636
put_AVLP/PVLP,A1,ACH,40,#27EBF5
B1-2,B1-1,ACH,40,#27EBF5
WV-WV-1,SAD_pr02,GABA,39,#D93636
B1-2,B1,ACH,39,#27EBF5
SAD_pr02,WV-WV-2,GABA,38,#D93636
B1,B1-2,ACH,38,#27EBF5
B1,put_WED_pr01,ACH,37,#27EBF5
B1-5,WV-WV-3,ACH,37,#27EBF5
AVLP_pr36,pMN2,ACH,36,#27EBF5
WED-VLP-2,put_AVLP_pr31,ACH,36,#27EBF5
put_B1,AVLP_pr01,ACH,36,#27EBF5
vpoIN,AVLP_pr31,GABA,36,#D93636
AVLP_pr36,put_PVLP_pr03,ACH,36,#27EBF5
pMN2,pC1e,ACH,36,#27EBF5
put_WED_pr01,WED_pr01,ACH,35,#27EBF5
vpoIN,AVLP_pr12,GABA,35,#D93636
WED-VLP-1,AVLP_pr02,ACH,35,#27EBF5
B1-4,put_AVLP/PVLP,ACH,35,#27EBF5
put_B1,put_AVLP_pr23,ACH,35,#27EBF5
B1,put_AVLP/PVLP,ACH,35,#27EBF5
put_PVLP_pr03,PVLP_pr03,GABA,35,#D93636
B2,WV-WV-3,GLUT,34,#FC6EFF
WV-WV-3,put_SAD_pr02,GABA,34,#D93636
B1-5,B1-4,ACH,34,#27EBF5
PVLP_pr03,PVLP_pr03,GABA,34,#D93636
B1-3,GF,ACH,34,#27EBF5
put_GNG_pr01,A1,GABA,34,#D93636
pC2lb,pC1e,ACH,34,#27EBF5
put_B1,B1-2,ACH,34,#27EBF5
put_AVLP/PVLP,GF,ACH,33,#27EBF5
AVLP_pr04,put_AVLP_pr11,DA,33,#F0D211
put_AVLP_pr36,vpoIN,ACH,32,#27EBF5
WV-WV-3,AVLP_pr23,GABA,32,#D93636
pC1d,pC1d,ACH,32,#27EBF5
put_AVLP_pr22,put_PVLP_pr03,ACH,31,#27EBF5
WV-WV-3,put_AVLP_pr23,GABA,31,#D93636
AVLP_pr01,put_AVLP_pr23,GABA,31,#D93636
put_SAD_pr02,WV-WV-1,GABA,31,#D93636
AVLP_pr12,AVLP_pr04,ACH,31,#27EBF5
put_B1,AVLP_pr23,ACH,31,#27EBF5
pC2lb,pC1d,ACH,31,#27EBF5
B1-4,B1-5,ACH,30,#27EBF5
put_AVLP_pr36,pC2lb,ACH,30,#27EBF5
B1,B1-1,ACH,30,#27EBF5
B1-1,put_B1,ACH,30,#27EBF5
pC2lc,pC1d,ACH,30,#27EBF5
put_AVLP_pr36,put_PVLP_pr03,ACH,30,#27EBF5
put_AVLP_pr23,WV-WV-3,ACH,30,#27EBF5
A2,WV-WV-1,ACH,29,#27EBF5
B1-4,AVLP/PVLP_pr01,ACH,29,#27EBF5
AVLP_pr04,put_AVLP_pr18,DA,29,#F0D211
SAD_pr02,A2,GABA,29,#D93636
B1-1,WV-WV-3,ACH,28,#27EBF5
AVLP_pr36,put_AVLP_pr12,ACH,28,#27EBF5
IPS_pr01,put_WED_pr01,GABA,28,#D93636
B1-3,A1,ACH,27,#27EBF5
put_WED_pr02,put_B1,GABA,27,#D93636
B2,WV-WV-2,GLUT,27,#FC6EFF
pC1d,pC1e,ACH,27,#27EBF5
IPS_pr02,put_IPS_pr01,GABA,27,#D93636
B1-2,B1-4,ACH,27,#27EBF5
put_AVLP_pr36,pC2la,ACH,27,#27EBF5
B1-1,WV-WV-2,ACH,27,#27EBF5
B1-5,AVLP_pr05,ACH,27,#27EBF5
B1,AVLP_pr23,ACH,26,#27EBF5
AVLP_pr23,WV-WV-3,ACH,26,#27EBF5
put_AVLP_pr11,AVLP_pr04,ACH,26,#27EBF5
B1,B1-4,ACH,26,#27EBF5
B1-5,B1-3,ACH,26,#27EBF5
AVLP_pr01,AVLP_pr23,GABA,25,#D93636
PVLP_pr03,GF,GABA,25,#D93636
WED_pr02,B1-4,GABA,25,#D93636
B1,GF,ACH,24,#27EBF5
WV-WV-3,B1,GABA,24,#D93636
put_vpoIN,pMN1,GABA,24,#D93636
AVLP_pr01,WV-WV-2,GABA,23,#D93636
put_B1,WV-WV-3,ACH,23,#27EBF5
B1,AVLP/PVLP_pr01,ACH,23,#27EBF5
WV-WV-2,B1-3,GABA,23,#D93636
pC1e,pMN2,ACH,23,#27EBF5
pC1e,pC1d,ACH,23,#27EBF5
B1-5,sad_pr0,ACH,23,#27EBF5
put_B1,B1-1,ACH,23,#27EBF5
put_vpoIN,AVLP_pr12,GABA,22,#D93636
B1-2,A1,ACH,22,#27EBF5
put_AVLP_pr36,PVLP_pr03,ACH,21,#27EBF5
GNG_pr01,AVLP_pr04,GABA,21,#D93636
GNG_pr01,AVLP_pr23,GABA,21,#D93636
put_B1,B1,ACH,21,#27EBF5
put_B1,put_WED_pr01,ACH,21,#27EBF5
AVLP_pr22,put_PVLP_pr03,ACH,21,#27EBF5
AVLP_pr02,AVLP_pr02,GABA,20,#D93636
put_WED-VLP,WED-VLP-2,ACH,20,#27EBF5
AVLP_pr36,put_vpoIN,ACH,20,#27EBF5
WV-WV-2,B1,GABA,20,#D93636
IPS_pr02,B1-4,GABA,20,#D93636
put_SAD_pr02,A2,GABA,20,#D93636
A1,B1-4,ACH,19,#27EBF5
A2,A2,ACH,19,#27EBF5
pC2la,pC1e,ACH,19,#27EBF5
put_AVLP_pr01,WED-VLP-2,GABA,19,#D93636
B1,put_B1,ACH,19,#27EBF5
put_WED-VLP,vpoIN,ACH,19,#27EBF5
vpoIN,put_AVLP_pr31,GABA,19,#D93636
WV-WV-2,WED_pr01,GABA,19,#D93636
AVLP_pr01,WED_pr02,GABA,19,#D93636
GNG_pr01,put_AVLP_pr23,GABA,19,#D93636
put_AVLP_pr23,WV-WV-2,ACH,18,#27EBF5
WV-WV-1,AVLP/PVLP_pr01,GABA,18,#D93636
AVLP_pr05,put_SAD_pr02,GABA,18,#D93636
AVLP_pr23,AVLP_pr02,ACH,18,#27EBF5
B1-5,put_AVLP/PVLP,ACH,17,#27EBF5
AVLP_pr23,AVLP_pr05,ACH,17,#27EBF5
WV-WV-2,AVLP_pr05,GABA,17,#D93636
AVLP_pr02,AVLP_pr36,GABA,17,#D93636
put_GNG_pr01,AVLP_pr04,GABA,17,#D93636
PVLP_pr03,put_PVLP_pr03,GABA,17,#D93636
put_AVLP_pr01,AVLP_pr22,GABA,17,#D93636
put_AVLP_pr23,AVLP_pr02,ACH,17,#27EBF5
WED_pr02,WED_pr01,GABA,17,#D93636
B1-2,put_B1,ACH,17,#27EBF5
AVLP_pr36,vpoIN,ACH,17,#27EBF5
put_AVLP_pr23,AVLP_pr05,ACH,16,#27EBF5
vpoIN,AVLP_pr32,GABA,16,#D93636
WED-VLP-2,put_WED-VLP,ACH,16,#27EBF5
put_AVLP_pr36,pC1d,ACH,16,#27EBF5
A2,WED_pr02,ACH,16,#27EBF5
pC1d,pMN2,ACH,16,#27EBF5
A1,WV-WV-3,ACH,16,#27EBF5
WED_pr01,IPS_pr01,ACH,15,#27EBF5
put_IPS/WED_pr01,IPS_pr02,GABA,15,#D93636
PVLP_pr03,pC2la,GABA,15,#D93636
put_WED_pr02,B1,GABA,15,#D93636
WV-WV-3,WED-VLP-2,GABA,15,#D93636
WV-WV-1,AVLP_pr02,GABA,14,#D93636
AVLP_pr04,AVLP_pr11,DA,14,#F0D211
put_B1,AVLP_pr05,ACH,14,#27EBF5
WV-WV-3,AVLP/PVLP_pr01,GABA,14,#D93636
B1-4,put_SAD_pr02,ACH,14,#27EBF5
vpoIN,pC2la,GABA,14,#D93636
A1,AVLP/PVLP_pr01,ACH,14,#27EBF5
WV-WV-2,put_SAD_pr02,GABA,14,#D93636
PVLP_pr03,put_AVLP_pr31,GABA,13,#D93636
A1,AVLP_pr23,ACH,13,#27EBF5
put_vpoIN,put_AVLP_pr12,GABA,13,#D93636
AVLP_pr23,WV-WV-2,ACH,13,#27EBF5
WV-WV-3,put_WED-VLP,GABA,13,#D93636
AVLP_pr01,pC2lb,GABA,13,#D93636
GNG_pr01,GF,GABA,13,#D93636
A2,put_WED_pr02,ACH,13,#27EBF5
put_WED-VLP,AVLP_pr32,ACH,13,#27EBF5
put_AVLP_pr23,WV-WV-1,ACH,13,#27EBF5
put_SAD_pr02,WED-VLP-1,GABA,12,#D93636
AVLP/PVLP_pr01,GF,ACH,12,#27EBF5
B1-2,B1-5,ACH,12,#27EBF5
B1-2,B1-3,ACH,12,#27EBF5
WED_pr01,put_IPS_pr01,ACH,12,#27EBF5
B1-1,B1-3,ACH,12,#27EBF5
B1-4,IPS_pr01,ACH,12,#27EBF5
