Source,Target,nt_type,Weight,Color
GF,B1-4,ACH,5,#27EBF5
pC2la,put_PVLP_pr03,ACH,5,#27EBF5
WV-WV-2,AVLP_pr23,GABA,5,#D93636
A1,B1,ACH,5,#27EBF5
pC1e,pC2la,ACH,5,#27EBF5
pC1e,pC1e,ACH,5,#27EBF5
pC1d,pC2la,ACH,5,#27EBF5
WV-WV-2,put_AVLP_pr23,GABA,5,#D93636
pMN1,pC2la,ACH,5,#27EBF5
PVLP_pr03,A1,GABA,5,#D93636
pMN1,pC2lc,ACH,5,#27EBF5
WV-WV-1,A2,GABA,5,#D93636
WED-VLP-1,put_AVLP_pr22,ACH,5,#27EBF5
put_SAD_pr02,WV-WV-2,GABA,5,#D93636
SAD_pr02,put_B1,GABA,5,#D93636
AVLP_pr36,AVLP_pr04,ACH,5,#27EBF5
AVLP_pr22,vpoIN,ACH,5,#27EBF5
B1,B1-3,ACH,5,#27EBF5
AVLP_pr22,put_AVLP_pr22,ACH,5,#27EBF5
put_B1,SAD_pr02,ACH,5,#27EBF5
AVLP_pr12,pC1d,ACH,5,#27EBF5
WED-VLP-2,WV-WV-3,ACH,5,#27EBF5
put_WED-VLP,WV-WV-3,ACH,5,#27EBF5
AVLP_pr32,put_AVLP_pr31,ACH,5,#27EBF5
SAD_pr02,AVLP_pr23,GABA,5,#D93636
WED_pr02,A1,GABA,5,#D93636
PVLP_pr03,put_WED_pr01,GABA,5,#D93636
put_WED_pr01,IPS/WED_pr01,ACH,5,#27EBF5
put_AVLP_pr36,AVLP_pr02,ACH,5,#27EBF5
put_WED_pr01,put_IPS/WED_pr01,ACH,5,#27EBF5
put_AVLP_pr31,AVLP_pr36,ACH,5,#27EBF5
PVLP_pr03,pC2lc,GABA,5,#D93636
put_AVLP_pr31,AVLP_pr32,ACH,5,#27EBF5
AVLP_pr04,AVLP_pr12,DA,5,#F0D211
put_AVLP_pr22,vpoIN,ACH,5,#27EBF5
put_AVLP_pr22,put_AVLP_pr22,ACH,5,#27EBF5
A2,WED-VLP-2,ACH,5,#27EBF5
put_AVLP_pr12,AVLP_pr04,ACH,5,#27EBF5
A2,B1-2,ACH,5,#27EBF5
WV-WV-3,put_WED_pr02,GABA,5,#D93636
