Source,Target,Weight,nt_type_banc,type_pre,type_post,layer_mean_pre,layer_mean_post,across_hemi_layer_pre,across_hemi_layer_post
720575940620622785,720575940627410944,2,Ach,JO-B,B1-2,,2.298076923,,
720575940625146122,720575940620195719,2,Ach,A2,AVLP_pr01-1,2.291666667,3.041666667,,
720575940625345328,720575940627263375,6,GABA,WV-WV-2,B1-4,2.996794872,2.766025641,,
720575940630659446,720575940643912608,1,GABA,SAD_pr02,JO-B,2.637820513,,,
720575940606336213,720575940622838154,20,Ach,B1-4,GF,3.169871795,3.179487179,,
720575940618524481,720575940617197057,1,Ach,B1-u,SAD_pr02,2.272435897,3.022435897,,
720575940632229457,720575940614840891,8,Ach,JO-B,B1-3,,2.541666667,,
720575940623474871,720575940633040097,7,Ach,JO-B,SAD_pr02,,2.987179487,,
720575940620195719,720575940636504553,16,GABA,AVLP_pr01-1,AVLP_pr02,3.041666667,3.75,,
720575940608893623,720575940611864243,2,Ach,JO-B,B1-5,,3.365384615,,
720575940619465131,720575940609522382,16,Ach,JO-A,B1-4,,2.782051282,,
720575940624872179,720575940634299071,10,Ach,B1-u,WED_pr02,2.185897436,3.243589744,,
720575940606010569,720575940621540586,4,Ach,B1-3,WED_pr02,2.717948718,3.445512821,,
720575940632764883,720575940615592409,1,Ach,AVLP_pr36/asp10a-1,AVLP_pr36/asp10a-1,5.448717949,5.182692308,5.376371083,
720575940632011420,720575940608082990,1,Ach,AVLP_pr12,AVLP_pr12,5.778846154,6.163461538,,
720575940616809401,720575940610638434,1,Ach,B1-1,B1-u,2.141025641,2.230769231,,
720575940610358990,720575940644968302,14,Ach,B1-2,AVLP_pr23,2.448717949,3.144230769,,3.192307692
720575940606336213,720575940616313942,3,Ach,B1-4,A1,3.169871795,3.939102564,,
720575940632385943,720575940628837650,4,Ach,vpoEN,AVLP_pr36/asp10a-1,3.746794872,5.333333333,,
720575940636705502,720575940640176848,2,GABA,vpoIN-3,pC2lb,3.916666667,4.871794872,3.921474359,
720575940623322877,720575940622254375,1,GABA,WV-WV-1,B1-2,3.176282051,2.246794872,2.711538462,
720575940620859886,720575940622123981,3,GABA,SAD_pr02,WV-WV-1,3.291666667,2.326923077,,
720575940629283659,720575940632649697,20,GABA,AVLP_pr01-1,A2,2.682692308,2.317307692,,
720575940634371941,720575940630037073,2,Ach,AVLP_pr12,AVLP_pr12,5.782051282,5.788461538,,
720575940633300148,720575940636910825,2,Ach,pC2lb,pC2la,5.173076923,5.673076923,,5.722467058
720575940621242025,720575940612078511,1,Ach,B1-5,WED_pr02,2.887820513,3.317307692,,
720575940614840891,720575940605308082,16,Ach,B1-3,WED_pr02,2.541666667,3.362179487,,
720575940621464344,720575940635330204,28,Ach,JO-A,WV-WV-1,,2.631410256,,
720575940625146122,720575940641545888,20,Ach,A2,WV-WV-4,2.291666667,2.987179487,,
