Source,Target,Weight,nt_type,type_pre_baker,type_pre_lockwood,type_post_baker,type_post_lockwood
720575940625146122,720575940620195719,2,ACH,,A2,AVLP_pr01,AVLP_pr01-1
720575940625345328,720575940627263375,6,GABA,WV-WV-2,WV-WV-2,B1-4,B1-4
720575940630659446,720575940643912608,1,GABA,SAD_pr02,SAD_pr02,,JO-B
720575940606336213,720575940622838154,20,ACH,B1-4,B1-4,GF,GF
720575940618524481,720575940617197057,1,ACH,B1,B1-u,SAD_pr02,SAD_pr02
720575940632229457,720575940614840891,8,ACH,,JO-B,B1-3,B1-3
720575940623474871,720575940633040097,7,ACH,,JO-B,SAD_pr02,SAD_pr02
720575940620195719,720575940636504553,16,GABA,AVLP_pr01,AVLP_pr01-1,AVLP_pr02,AVLP_pr02
720575940608893623,720575940611864243,2,ACH,,JO-B,B1-5,B1-5
720575940619465131,720575940609522382,16,SER,,JO-A,B1-4,B1-4
720575940624872179,720575940634299071,10,ACH,B1,B1-u,put_WED_pr02,WED_pr02
720575940606010569,720575940621540586,4,ACH,B1-3,B1-3,put_WED_pr02,WED_pr02
720575940632764883,720575940615592409,1,ACH,AVLP_pr36,AVLP_pr36/asp10a-1,AVLP_pr36,AVLP_pr36/asp10a-1
720575940632011420,720575940608082990,1,ACH,AVLP_pr12,AVLP_pr12,AVLP_pr12,AVLP_pr12
720575940616809401,720575940610638434,1,ACH,B1-1,B1-1,put_B1,B1-u
720575940610358990,720575940644968302,14,ACH,B1-2,B1-2,put_AVLP_pr23,AVLP_pr23
720575940606336213,720575940616313942,3,ACH,B1-4,B1-4,A1,A1
720575940632385943,720575940628837650,4,ACH,,vpoEN,AVLP_pr36,AVLP_pr36/asp10a-1
720575940636705502,720575940640176848,2,GABA,vpoIN,vpoIN-3,pC2lb,pC2lb
720575940623322877,720575940622254375,1,GABA,WV-WV-1,WV-WV-1,B1-2,B1-2
720575940620859886,720575940622123981,3,GABA,SAD_pr02,SAD_pr02,WV-WV-1,WV-WV-1
720575940629283659,720575940632649697,20,GABA,AVLP_pr01,AVLP_pr01-1,A2,A2
720575940634371941,720575940630037073,2,ACH,AVLP_pr12,AVLP_pr12,AVLP_pr12,AVLP_pr12
720575940633300148,720575940636910825,2,ACH,pC2lb,pC2lb,pC2la,pC2la
720575940621242025,720575940612078511,1,ACH,B1-5,B1-5,put_WED_pr02,WED_pr02
720575940614840891,720575940605308082,16,ACH,B1-3,B1-3,put_WED_pr02,WED_pr02
720575940621464344,720575940635330204,28,ACH,,JO-A,WV-WV-1,WV-WV-1
720575940625146122,720575940641545888,20,ACH,,A2,WV-WV-3,WV-WV-4
720575940618475101,720575940620356545,1,ACH,pC2lb,pC2lb,pC1d,pC1d
720575940624704393,720575940612001489,15,ACH,B1-3,B1-3,A1,A1
720575940616313942,720575940618522433,3,ACH,A1,A1,A1,A1
