Id,Label,NT2026 (FAFB and BANC),layer_mean[z],Across-hemi_layer_mean
720575940603533246,WV-WV-3,GABA,2.778846154,
720575940632945177,WV-WV-3,GABA,2.326923077,
720575940627201579,WV-WV-3,GABA,3.048076923,
720575940621717469,WV-WV-3,GABA,2.846153846,
720575940605214636,WV-WV-3,GABA,2.53525641,
720575940604201830,WV-WV-3,GABA,2.41025641,
720575940609513841,WV-WV-4,GABA,3.467948718,3.227564103
720575940641545888,WV-WV-4,GABA,2.987179487,
720575940619783518,AVLP_pr01-1,GABA,2.628205128,2.782371795
720575940620062633,AVLP_pr01-1,GABA,2.996794872,
720575940602914988,AVLP_pr01-1,GABA,2.621794872,
720575940620195719,AVLP_pr01-1,GABA,3.041666667,
720575940634508174,AVLP_pr01-1,GABA,2.570512821,
720575940628489516,AVLP_pr01-1,GABA,3.631410256,
720575940622065432,AVLP_pr01-1,GABA,2.592948718,
720575940631425965,AVLP_pr01-1,GABA,2.621794872,
720575940623987982,AVLP_pr01-1,GABA,2.435897436,
720575940629283659,AVLP_pr01-1,GABA,2.682692308,
720575940630353682,AVLP_pr01-2,GABA,4.03525641,4.044471154
720575940627642818,AVLP_pr01-2,GABA,3.823717949,
720575940609014370,AVLP_pr01-2,GABA,4.217948718,
720575940632670434,AVLP_pr01-2,GABA,4.0,
720575940626042499,AVLP_pr01-2,GABA,3.935897436,
720575940620929416,AVLP_pr01-2,GABA,4.038461538,
720575940603683505,AVLP_pr01-2,GABA,4.070512821,
720575940621713672,AVLP_pr01-2,GABA,4.233974359,
720575940607055061,AVLP_pr01-3,GABA,5.519230769,5.290064103
720575940627709801,AVLP_pr01-3,GABA,5.060897436,
720575940644319796,AVLP_pr02,GABA,4.46474359,3.774038462
720575940619583749,AVLP_pr02,GABA,3.429487179,
720575940636504553,AVLP_pr02,GABA,3.75,
720575940610558357,AVLP_pr02,GABA,4.179487179,
720575940630087542,AVLP_pr02,GABA,3.381410256,
720575940617390027,AVLP_pr02,GABA,3.439102564,
720575940623621157,WED_pr01-1,Ach,4.256410256,4.180128205
720575940624875018,WED_pr01-1,Ach,4.115384615,
720575940624314468,WED_pr01-1,Ach,4.019230769,
720575940616612313,WED_pr01-1,Ach,4.21474359,
720575940626228329,WED_pr01-1,Ach,4.25,
720575940624473918,WED_pr01-1,Ach,4.394230769,
720575940632303807,WED_pr01-1,Ach,4.269230769,
