Source,Target,Weight
B2,WV-WV-3,85
B1-4,SAD_pr02,85
put_WED-VLP,pC2lb,82
put_WED-VLP,put_AVLP_pr01,82
B1-3,AVLP_pr23,81
pC2lb,PVLP_pr03,80
put_AVLP_pr23,AVLP/PVLP_pr01,80
WV-WV-2,SAD_pr02,79
B1,WV-WV-2,78
vpoIN,pMN1,78
B1-3,put_AVLP_pr23,77
WED_pr01,IPS/WED_pr01,75
WV-WV-1,AVLP_pr23,75
put_B1,put_WED_pr02,74
put_AVLP_pr23,A1,73
AVLP_pr36,pC2la,71
put_WED-VLP,WV-WV-1,71
pC2la,pC2la,70
B1-5,A1,70
put_AVLP_pr36,AVLP_pr12,69
put_AVLP_pr23,AVLP_pr23,69
WED_pr02,put_AVLP_pr23,69
AVLP_pr01,AVLP_pr22,69
WED-VLP-1,WV-WV-1,69
B1,B1-5,67
put_WED_pr02,AVLP_pr23,67
put_AVLP_pr36,AVLP_pr36,66
SAD_pr02,B1,66
B1-1,B1-2,65
pC2la,pC1d,65
WED-VLP-2,put_AVLP_pr22,64
put_B1,put_WED-VLP,64
IPS_pr02,IPS_pr01,64
SAD_pr02,B1-2,64
SAD_pr02,WV-WV-1,63
put_AVLP_pr36,pMN1,62
WV-WV-2,WED-VLP-2,62
pC2lb,pMN2,61
put_vpoIN,pC1e,61
WED-VLP-2,AVLP_pr22,60
B1-1,WED-VLP-2,60
WV-WV-2,B1-5,59
B1-4,put_WED_pr01,59
put_WED-VLP,WED-VLP-1,58
AVLP_pr12,AVLP_pr12,55
WED_pr01,put_WED_pr01,55
AVLP_pr23,put_AVLP_pr23,53
AVLP_pr02,pMN2,52
B1-4,B1,51
pC2lb,put_PVLP_pr03,51
B1-1,AVLP_pr01,50
B1,put_WED-VLP,49
put_B1,WV-WV-2,49
AVLP/PVLP_pr01,A1,48
B1-3,B1-5,48
B2,put_B1,47
B1-5,WV-WV-1,47
put_AVLP_pr23,put_AVLP/PVLP,46
B1-2,SAD_pr02,45
vpoIN,AVLP_pr36,44
WED_pr01,put_IPS/WED_pr01,44
WV-WV-3,put_AVLP/PVLP,44
B1,put_AVLP_pr23,43
vpoIN,pC1d,43
pC2lb,pC2lc,43
WED-VLP-2,WED-VLP-2,42
B1-3,B1-3,41
WED-VLP-2,AVLP_pr31,41
WED_pr02,AVLP_pr23,41
B1-2,B1-1,40
put_AVLP/PVLP,A1,40
B1-2,B1,39
WV-WV-1,SAD_pr02,39
SAD_pr02,WV-WV-2,38
B1,B1-2,38
B1-5,WV-WV-3,37
B1,put_WED_pr01,37
pMN2,pC1e,36
put_B1,AVLP_pr01,36
vpoIN,AVLP_pr31,36
AVLP_pr36,put_PVLP_pr03,36
AVLP_pr36,pMN2,36
WED-VLP-2,put_AVLP_pr31,36
B1-4,put_AVLP/PVLP,35
B1,put_AVLP/PVLP,35
put_WED_pr01,WED_pr01,35
vpoIN,AVLP_pr12,35
put_B1,put_AVLP_pr23,35
WED-VLP-1,AVLP_pr02,35
put_PVLP_pr03,PVLP_pr03,35
put_B1,B1-2,34
pC2lb,pC1e,34
WV-WV-3,put_SAD_pr02,34
B1-5,B1-4,34
put_GNG_pr01,A1,34
B1-3,GF,34
PVLP_pr03,PVLP_pr03,34
AVLP_pr04,put_AVLP_pr11,33
put_AVLP/PVLP,GF,33
put_AVLP_pr36,vpoIN,32
pC1d,pC1d,32
WV-WV-3,AVLP_pr23,32
put_SAD_pr02,WV-WV-1,31
WV-WV-3,put_AVLP_pr23,31
put_B1,AVLP_pr23,31
AVLP_pr12,AVLP_pr04,31
put_AVLP_pr22,put_PVLP_pr03,31
AVLP_pr01,put_AVLP_pr23,31
pC2lb,pC1d,31
B1-1,put_B1,30
B1,B1-1,30
B1-4,B1-5,30
pC2lc,pC1d,30
put_AVLP_pr36,pC2lb,30
put_AVLP_pr36,put_PVLP_pr03,30
put_AVLP_pr23,WV-WV-3,30
A2,WV-WV-1,29
SAD_pr02,A2,29
B1-4,AVLP/PVLP_pr01,29
AVLP_pr04,put_AVLP_pr18,29
B1-1,WV-WV-3,28
IPS_pr01,put_WED_pr01,28
AVLP_pr36,put_AVLP_pr12,28
B1-1,WV-WV-2,27
pC1d,pC1e,27
IPS_pr02,put_IPS_pr01,27
B1-2,B1-4,27
put_AVLP_pr36,pC2la,27
B1-3,A1,27
put_WED_pr02,put_B1,27
B1-5,AVLP_pr05,27
B2,WV-WV-2,27
AVLP_pr23,WV-WV-3,26
B1,AVLP_pr23,26
put_AVLP_pr11,AVLP_pr04,26
B1-5,B1-3,26
B1,B1-4,26
WED_pr02,B1-4,25
PVLP_pr03,GF,25
AVLP_pr01,AVLP_pr23,25
B1,GF,24
WV-WV-3,B1,24
put_vpoIN,pMN1,24
WV-WV-2,B1-3,23
put_B1,WV-WV-3,23
B1-5,sad_pr0,23
AVLP_pr01,WV-WV-2,23
put_B1,B1-1,23
pC1e,pMN2,23
B1,AVLP/PVLP_pr01,23
pC1e,pC1d,23
B1-2,A1,22
put_vpoIN,AVLP_pr12,22
GNG_pr01,AVLP_pr04,21
put_AVLP_pr36,PVLP_pr03,21
AVLP_pr22,put_PVLP_pr03,21
put_B1,put_WED_pr01,21
put_B1,B1,21
GNG_pr01,AVLP_pr23,21
put_SAD_pr02,A2,20
AVLP_pr02,AVLP_pr02,20
put_WED-VLP,WED-VLP-2,20
WV-WV-2,B1,20
