Source,Target,nt_type_banc,layer_mean_pre,layer_mean_post,Weight
vpoIN-1,pC2lb,GABA,5.493589744,5.131410256,8
WED_pr02,B1-3,GABA,3.573717949,2.509615385,8
pC2lb,pC2la,Ach,4.871794872,5.708333333,8
vpoIN-1,pC2lb,GABA,4.96474359,5.131410256,8
vpoIN-2,AVLP_pr12,GABA,5.173076923,5.987179487,8
WED_pr02,B1-1,GABA,3.201923077,2.179487179,8
WV-WV-2,WED_pr02,GABA,3.544871795,3.564102564,8
WED_pr02,B1-3,GABA,3.445512821,2.653846154,8
pC2lb,pC2la,Ach,4.929487179,5.955128205,8
WV-WV-1,AVLP_pr01-1,GABA,2.631410256,2.621794872,8
pC2lb,pC2la,Ach,4.945512821,5.586538462,8
WV-WV-1,AVLP_pr02,GABA,2.326923077,3.429487179,8
vpoIN-2,AVLP_pr12,GABA,5.198717949,5.971153846,8
WED_pr02,B1-2,GABA,3.445512821,3.596153846,8
WED_pr02,vpoEN,GABA,3.317307692,3.740384615,8
WV-WV-1,SAD_pr02,GABA,2.326923077,3.830128205,8
WV-WV-3,A1,GABA,2.78525641,3.939102564,8
pC2la,AVLP_pr04,Ach,5.955128205,6.006410256,8
pC2la,pC1d,Ach,5.493589744,5.689102564,8
WED_pr02,WV-WV-2,GABA,3.362179487,3.394230769,8
pC2la,pC1d,Ach,5.673076923,5.689102564,8
WV-WV-3,B1-4,GABA,2.326923077,2.743589744,8
pC2lb,AVLP_pr36/asp10a-1,Ach,4.929487179,5.278846154,8
vpoIN-1,pC2lb,GABA,5.78525641,5.131410256,8
pC2lb,AVLP_pr36/asp10a-1,Ach,4.929487179,5.182692308,8
WED_pr02,WV-WV-2,GABA,3.439102564,3.355769231,8
WV-WV-1,WED-VLP-1,GABA,2.631410256,3.253205128,8
WV-WV-2,B1-5,GABA,2.996794872,3.028846154,8
WV-WV-2,B1-3,GABA,3.544871795,2.833333333,8
WV-WV-2,SAD_pr02,GABA,3.724358974,4.192307692,8
WV-WV-1,WED-VLP-1,GABA,2.631410256,3.134615385,8
pC2lb,AVLP_pr36/asp10a-1,Ach,4.830128205,5.237179487,8
pC2la,pMN1,Ach,5.884615385,5.224358974,8
WV-WV-2,SAD_pr02,GABA,3.724358974,4.048076923,8
WED_pr02,WV-WV-2,GABA,3.541666667,3.394230769,8
WV-WV-4,WED-VLP-2,GABA,3.467948718,3.560897436,8
WED_pr02,WV-WV-2,GABA,3.5,3.355769231,8
pC2la,pC2la,Ach,5.586538462,5.240384615,8
vpoIN-3,AVLP_pr31,GABA,3.916666667,4.237179487,8
vpoIN-1,pC2lb,GABA,5.628205128,5.173076923,8
WED_pr02,WED-VLP-2,GABA,3.096153846,3.413461538,8
pC1d,pC1e,Ach,5.891025641,6.310897436,8
WV-WV-1,WV-WV-2,GABA,3.176282051,3.355769231,8
pC2lb,pC2lb,Ach,5.173076923,4.875,8
WED_pr02,B1-u,GABA,3.403846154,2.185897436,8
vpoEN,AVLP_pr36/asp10a-1,Ach,3.740384615,5.054487179,8
aPN2,IPS/WED_pr01,Ach,3.288461538,5.009615385,8
WV-WV-1,WV-WV-3,GABA,2.326923077,2.41025641,8
WV-WV-2,WV-WV-1,GABA,3.5,2.631410256,8
WED_pr02,WV-WV-4,GABA,3.243589744,2.987179487,8
WED_pr02,B1-2,GABA,3.128205128,2.663461538,8
vpoIN-1,pC2lb,GABA,5.628205128,4.830128205,8
pC2lb,AVLP_pr36/asp10a-1,Ach,5.173076923,5.58974359,8
vpoIN-2,AVLP_pr12,GABA,5.355769231,6.003205128,8
WED_pr02,WED_pr02,GABA,3.096153846,3.445512821,8
WED_pr02,WED-VLP-2,GABA,3.445512821,3.423076923,8
aPN2,aPN2,Ach,4.919871795,4.996794872,8
aPN3,aPN2,GLUT,5.176282051,4.996794872,8
pC2lb,pMN2,Ach,4.830128205,5.314102564,8
WV-WV-2,WV-WV-3,GABA,3.724358974,2.53525641,8
WED_pr02,B1-2,GABA,3.573717949,3.743589744,8
WV-WV-2,WED_pr02,GABA,2.996794872,3.516025641,8
WV-WV-4,SAD_pr02,GABA,3.467948718,3.291666667,8
WED_pr02,WV-WV-2,GABA,3.128205128,3.394230769,8
WED_pr02,B1-2,GABA,3.243589744,2.423076923,8
WV-WV-3,B1-4,GABA,2.326923077,3.169871795,8
pC1d,pC1e,Ach,5.689102564,6.310897436,8
WV-WV-2,WED_pr01-1,GABA,3.724358974,4.019230769,8
WV-WV-1,SAD_pr02,GABA,2.326923077,3.323717949,8
B2,B1-7,GABA,2.298076923,2.746794872,8
B1-2,B1-4,Ach,2.477564103,2.426282051,8
B1-5,B1-7,Ach,2.445512821,2.746794872,8
AVLP_pr36/asp10a-1,pC2lb,Ach,5.256410256,4.929487179,8
B1-5,WED_pr01-1,Ach,2.573717949,4.019230769,8
AVLP_pr36/asp10a-1,pMN1,Ach,5.320512821,5.224358974,8
AVLP_pr36/asp10a-1,pMN1,Ach,5.541666667,5.243589744,8
WED-VLP-1,pC2lb,Ach,3.310897436,4.871794872,8
AVLP_pr36/asp10a-1,pMN2,Ach,5.407051282,5.391025641,8
B1-5,SAD_pr02,Ach,3.451923077,4.070512821,8
B1-1,AVLP_pr23,Ach,3.935897436,3.240384615,8
WED-VLP-1,pC2lb,Ach,3.041666667,4.929487179,8
B1-5,GF,Ach,2.833333333,3.179487179,8
B1-1,B1-1,Ach,2.060897436,2.141025641,8
B1-5,B1-7,Ach,2.637820513,3.150641026,8
B1-5,B1-7,Ach,2.445512821,2.519230769,8
SAD_pr02,A2,GABA,2.211538462,2.310897436,8
B1-1,B1-1,Ach,3.830128205,4.240384615,8
B1-1,B1-2,Ach,2.060897436,2.246794872,8
B1-1,B1-2,Ach,2.060897436,2.448717949,8
SAD_pr01,B1-2,GABA,2.384615385,2.246794872,8
B1-5,B1-5,Ach,3.240384615,3.496794872,8
B1-5,B1-5,Ach,3.147435897,3.051282051,8
B1-1,B1-u,Ach,2.060897436,2.230769231,8
WED-VLP-1,WED_pr02,Ach,3.224358974,3.147435897,8
B1-1,B1-u,Ach,4.240384615,4.189102564,8
WED-VLP-1,WED-VLP-2,Ach,3.448717949,3.637820513,8
B1-1,WED-VLP-1,Ach,2.092948718,3.176282051,8
B1-1,WED-VLP-1,Ach,2.092948718,3.314102564,8
B1-5,WED_pr01-1,Ach,2.833333333,4.16025641,8
B1-5,WED_pr01-1,Ach,3.147435897,4.16025641,8
