Source,Target,nt_type_banc,layer_mean_pre,layer_mean_post,Weight
B1-5,WED_pr02,Ach,2.573717949,3.516025641,287
B1-3,WED_pr02,Ach,2.509615385,3.378205128,285
WV-WV-1,WED_pr02,GABA,3.176282051,3.445512821,279
WV-WV-3,GF,GABA,2.41025641,3.179487179,273
B1-5,WED_pr02,Ach,3.051282051,3.564102564,271
B1-1,WV-WV-1,Ach,2.141025641,3.176282051,259
B1-5,WED_pr02,Ach,2.939102564,3.541666667,244
WV-WV-1,AVLP_pr01-1,GABA,2.326923077,2.621794872,242
B1-1,WV-WV-1,Ach,4.378205128,3.176282051,233
B1-3,WED_pr02,Ach,2.653846154,3.378205128,231
B1-5,WED_pr02,Ach,3.028846154,3.541666667,224
WV-WV-1,WED_pr02,GABA,3.176282051,3.378205128,221
B2,B1-2,GABA,2.727564103,2.663461538,217
B1-5,WED_pr02,Ach,2.887820513,3.5,205
B1-3,WED_pr02,Ach,2.541666667,3.378205128,203
WV-WV-1,WED_pr02,GABA,3.176282051,3.403846154,203
B1-5,WED_pr02,Ach,3.147435897,3.608974359,201
B1-5,WED_pr02,Ach,2.573717949,3.362179487,197
B1-3,WED_pr02,Ach,2.833333333,3.362179487,197
WV-WV-3,WV-WV-3,GABA,2.53525641,2.846153846,196
B2,B1-3,GABA,2.727564103,2.509615385,194
WV-WV-1,WED-VLP-1,GABA,2.326923077,3.272435897,194
B1-5,WED_pr02,Ach,3.134615385,3.541666667,192
B1-5,WED_pr02,Ach,3.496794872,3.608974359,188
B1-3,WED_pr02,Ach,2.483974359,3.362179487,183
B1-3,WED_pr02,Ach,2.817307692,3.378205128,182
B1-3,WED_pr02,Ach,2.833333333,3.516025641,178
B2,B1-2,GABA,2.727564103,2.448717949,175
B1-5,WED_pr02,Ach,2.939102564,3.5,174
B1-3,WED_pr02,Ach,2.509615385,3.317307692,171
B1-3,WED_pr02,Ach,2.541666667,3.317307692,170
WV-WV-3,GF,GABA,2.41025641,3.467948718,169
B1-5,WED_pr02,Ach,3.051282051,3.608974359,167
A1,A1,inconclusive,3.823717949,3.730769231,166
B2,B1-7,GABA,2.644230769,2.358974359,166
B1-2,WED_pr02,Ach,2.477564103,3.445512821,166
B2,B1-2,GABA,2.727564103,2.387820513,163
B1-5,WED_pr02,Ach,3.051282051,3.516025641,161
B1-5,WED_pr02,Ach,3.141025641,3.564102564,158
B1-5,WED_pr02,Ach,2.887820513,3.541666667,154
B1-2,WV-WV-1,Ach,2.246794872,3.176282051,154
A2,AVLP_pr01-1,Ach,2.310897436,2.682692308,154
B1-3,WED_pr02,Ach,2.717948718,3.397435897,154
B1-5,WED_pr02,Ach,3.147435897,3.564102564,153
B1-4,A1,Ach,2.766025641,3.746794872,152
B2,B1-7,GABA,2.727564103,2.451923077,152
B1-4,WV-WV-3,Ach,2.766025641,2.326923077,151
B1-2,WED_pr02,Ach,2.663461538,3.445512821,151
B1-4,A1,Ach,2.743589744,3.823717949,148
B1-1,WV-WV-1,Ach,5.0,3.176282051,147
WV-WV-2,WV-WV-3,GABA,2.996794872,2.53525641,146
B1-3,WED_pr02,Ach,2.509615385,3.445512821,146
B1-1,WV-WV-1,Ach,2.108974359,3.176282051,145
B1-3,WED_pr02,Ach,2.717948718,3.362179487,143
B1-4,A1,Ach,2.766025641,3.939102564,143
B1-4,WV-WV-3,Ach,2.766025641,2.78525641,142
B1-5,WED_pr02,Ach,3.028846154,3.608974359,142
B1-5,WED_pr02,Ach,3.134615385,3.5,142
B1-2,WV-WV-1,Ach,2.423076923,2.631410256,142
B1-2,WV-WV-2,Ach,2.477564103,3.394230769,140
WV-WV-3,GF,GABA,2.326923077,3.179487179,139
B1-2,WED_pr02,Ach,2.663461538,3.378205128,138
B1-1,WV-WV-1,Ach,2.060897436,3.176282051,138
A2,WED-VLP-1,Ach,2.310897436,3.272435897,134
WV-WV-1,WED-VLP-1,GABA,3.176282051,3.272435897,134
WV-WV-1,WV-WV-1,GABA,2.326923077,3.176282051,132
B1-5,WED_pr02,Ach,2.887820513,3.378205128,132
B1-4,WV-WV-3,Ach,2.743589744,2.78525641,132
B1-u,WV-WV-1,Ach,2.185897436,3.176282051,132
A2,AVLP_pr01-1,Ach,2.310897436,2.592948718,131
B1-2,WV-WV-1,Ach,2.477564103,2.631410256,131
B1-2,WV-WV-2,Ach,2.435897436,3.355769231,130
B1-2,WED_pr02,Ach,3.903846154,3.439102564,130
WV-WV-3,GF,GABA,2.78525641,3.179487179,128
B1-1,WV-WV-1,Ach,3.830128205,3.176282051,128
A2,AVLP_pr01-1,Ach,2.298076923,2.628205128,127
WV-WV-1,WED_pr02,GABA,3.176282051,3.573717949,127
WV-WV-3,A1,GABA,2.778846154,3.746794872,126
B1-3,WED_pr02,Ach,2.817307692,3.5,125
B1-1,WED-VLP-1,Ach,4.378205128,3.272435897,124
B1-3,WED_pr02,Ach,2.483974359,3.397435897,124
B1-4,A1,Ach,2.743589744,3.730769231,123
B1-1,WV-WV-1,Ach,2.179487179,3.176282051,123
B1-3,WED_pr02,Ach,2.653846154,3.317307692,122
B1-4,WV-WV-3,Ach,2.743589744,2.326923077,122
B1-2,WED_pr02,Ach,2.423076923,3.096153846,121
WV-WV-2,WED_pr02,GABA,3.394230769,3.378205128,121
B1-5,WED_pr02,Ach,3.051282051,3.541666667,120
B2,B1-2,GABA,2.727564103,2.298076923,120
B2,B1-3,GABA,2.298076923,3.256410256,120
B1-5,WED_pr02,Ach,3.496794872,3.564102564,120
B1-1,WED-VLP-1,Ach,2.141025641,3.272435897,119
B2,B1-7,GABA,2.298076923,3.150641026,118
B1-3,WV-WV-2,Ach,2.541666667,3.355769231,118
B1-2,WED_pr02,Ach,2.477564103,3.378205128,117
B1-2,WV-WV-2,Ach,2.435897436,3.394230769,117
B1-1,WV-WV-1,Ach,3.935897436,3.176282051,117
WV-WV-1,AVLP_pr01-1,GABA,2.326923077,2.435897436,117
B1-3,WED_pr02,Ach,2.717948718,3.439102564,117
WV-WV-1,WED-VLP-1,GABA,2.326923077,3.314102564,117
WV-WV-1,WED_pr02,GABA,3.176282051,3.317307692,117
WV-WV-3,GF,GABA,2.326923077,3.467948718,116
B1-5,WED_pr02,Ach,3.134615385,3.564102564,116
B1-3,WED_pr02,Ach,3.256410256,3.439102564,116
B1-2,WV-WV-2,Ach,2.663461538,3.355769231,115
WV-WV-1,AVLP_pr01-1,GABA,2.326923077,2.682692308,114
B1-2,WED_pr02,Ach,2.448717949,3.403846154,114
B1-2,WED_pr02,Ach,2.298076923,3.096153846,114
B1-2,WV-WV-2,Ach,2.477564103,3.355769231,114
B2,B1-6,GABA,2.727564103,3.185897436,114
WV-WV-1,WED_pr02,GABA,3.176282051,3.439102564,113
B2,B1-6,GABA,2.298076923,3.320512821,113
B1-1,WV-WV-1,Ach,4.240384615,3.176282051,113
WV-WV-2,WED_pr02,GABA,3.394230769,3.564102564,112
B1-1,WV-WV-1,Ach,2.141025641,2.631410256,112
B1-5,WED_pr02,Ach,3.048076923,3.608974359,112
aPN2,IPS_pr02,Ach,3.532051282,3.403846154,110
A2,AVLP_pr01-1,Ach,2.291666667,2.628205128,110
B1-3,WV-WV-2,Ach,2.541666667,3.394230769,110
B2,B1-7,GABA,2.727564103,2.487179487,110
A1,A1,inconclusive,4.294871795,3.730769231,110
B1-2,WED-VLP-2,Ach,2.246794872,3.333333333,110
WV-WV-3,GF,GABA,2.78525641,3.467948718,110
B1-2,WED_pr02,Ach,3.221153846,3.445512821,110
WV-WV-1,AVLP_pr01-1,GABA,2.326923077,2.570512821,109
B1-1,WED-VLP-1,Ach,2.141025641,3.224358974,108
B2,B1-6,GABA,2.298076923,3.125,108
B1-2,WV-WV-1,Ach,3.743589744,2.631410256,108
WV-WV-2,WED_pr02,GABA,3.394230769,3.541666667,108
B1-5,WED_pr02,Ach,2.573717949,3.564102564,107
B1-5,WED_pr02,Ach,3.141025641,3.516025641,107
B2,B1-4,GABA,2.727564103,2.58974359,106
WV-WV-2,WED_pr02,GABA,3.355769231,3.516025641,106
WV-WV-2,WED_pr02,GABA,3.355769231,3.378205128,106
B1-5,WED_pr02,Ach,3.028846154,3.5,106
B1-2,WV-WV-1,Ach,2.448717949,2.631410256,106
WV-WV-2,WED_pr02,GABA,3.394230769,3.5,106
WV-WV-2,WED_pr02,GABA,3.394230769,3.516025641,106
A2,AVLP_pr01-1,Ach,2.317307692,2.682692308,106
B1-2,WV-WV-1,Ach,2.435897436,2.631410256,105
B1-1,WED-VLP-1,Ach,2.092948718,3.272435897,104
B1-u,WED-VLP-1,Ach,2.185897436,3.336538462,104
B1-2,WED_pr02,Ach,3.743589744,3.445512821,103
B1-5,WED_pr02,Ach,3.141025641,3.541666667,103
B1-5,WED_pr02,Ach,2.887820513,3.516025641,103
B1-3,WED_pr02,Ach,2.717948718,3.378205128,103
B1-1,WV-WV-1,Ach,2.169871795,3.176282051,103
B1-2,WED_pr02,Ach,3.221153846,3.573717949,103
B1-5,WED_pr02,Ach,2.939102564,3.564102564,102
B1-2,WV-WV-1,Ach,3.586538462,3.176282051,102
B1-1,WED-VLP-1,Ach,2.141025641,3.310897436,102
B1-2,WV-WV-2,Ach,2.663461538,3.394230769,101
B1-2,WED-VLP-2,Ach,2.298076923,3.336538462,101
B1-2,WV-WV-2,Ach,3.903846154,3.394230769,101
B1-5,WED_pr02,Ach,2.939102564,3.516025641,100
WV-WV-3,A1,GABA,2.846153846,3.939102564,100
B2,B1-3,GABA,2.298076923,2.717948718,100
SAD_pr01,GF,GABA,2.384615385,3.179487179,99
A2,WED-VLP-1,Ach,2.317307692,3.272435897,99
WV-WV-2,WED_pr02,GABA,3.355769231,3.564102564,99
B1-2,WV-WV-1,Ach,2.423076923,3.176282051,99
WV-WV-1,WED-VLP-1,GABA,3.176282051,3.310897436,99
B1-2,WED_pr02,Ach,3.903846154,3.573717949,99
B1-3,WED_pr02,Ach,2.653846154,3.362179487,98
B2,B1-2,GABA,2.644230769,2.477564103,98
B2,B1-5,GABA,2.634615385,2.445512821,98
B1-5,WED_pr02,Ach,3.134615385,3.608974359,98
B1-2,WED_pr02,Ach,2.246794872,3.096153846,98
WV-WV-1,AVLP_pr01-1,GABA,2.326923077,2.592948718,97
WV-WV-1,AVLP_pr01-1,GABA,2.326923077,2.628205128,97
A2,AVLP_pr01-1,Ach,2.291666667,2.621794872,97
B1-3,WED_pr02,Ach,3.256410256,3.397435897,97
B1-2,WED-VLP-2,Ach,2.423076923,3.423076923,96
B2,B1-7,GABA,2.298076923,3.516025641,96
B1-5,WED_pr02,Ach,2.573717949,3.397435897,96
B1-2,WED-VLP-2,Ach,2.435897436,3.346153846,96
A2,AVLP_pr01-1,Ach,2.310897436,2.435897436,95
B2,B1-2,GABA,2.634615385,2.477564103,95
B1-2,WV-WV-1,Ach,3.903846154,2.631410256,95
B1-u,WV-WV-1,Ach,4.092948718,3.176282051,95
B1-3,WV-WV-2,Ach,2.509615385,3.394230769,95
WV-WV-3,WV-WV-2,GABA,2.53525641,2.996794872,95
B1-3,WED_pr02,Ach,2.541666667,3.445512821,95
B1-4,A1,Ach,2.560897436,3.746794872,94
B1-2,WV-WV-1,Ach,3.596153846,2.631410256,94
B1-1,WED-VLP-1,Ach,3.830128205,3.448717949,94
B1-1,WV-WV-1,Ach,2.092948718,3.176282051,94
B2,B1-5,GABA,2.644230769,2.445512821,93
B2,B1-7,GABA,2.727564103,2.519230769,93
B1-5,WED_pr02,Ach,3.028846154,3.564102564,93
B1-1,WED-VLP-1,Ach,2.169871795,3.272435897,93
WV-WV-1,AVLP_pr23,GABA,2.631410256,3.144230769,93
WV-WV-1,WED_pr02,GABA,3.176282051,3.096153846,93
B1-5,WED_pr02,Ach,3.141025641,3.608974359,92
B1-5,WED_pr02,Ach,2.573717949,3.378205128,92
B2,B1-4,GABA,2.644230769,2.426282051,91
B1-2,WV-WV-1,Ach,3.378205128,3.176282051,91
B1-2,WV-WV-2,Ach,2.448717949,3.355769231,91
B1-2,WV-WV-1,Ach,2.298076923,3.176282051,90
A1,A1,inconclusive,3.746794872,3.939102564,90
B1-4,A1,Ach,2.58974359,3.746794872,90
aPN2,IPS_pr02,Ach,3.288461538,3.307692308,90
B1-3,WED_pr02,Ach,2.653846154,3.5,90
B1-5,WED_pr02,Ach,3.141025641,3.5,90
B1-1,WED-VLP-1,Ach,4.378205128,3.310897436,90
B1-3,WED_pr02,Ach,3.256410256,3.573717949,90
B2,B1-3,GABA,2.727564103,2.653846154,89
vpoEN,pMN1,Ach,3.641025641,5.243589744,89
B1-2,WED_pr02,Ach,3.105769231,3.445512821,89
WV-WV-3,GF,GABA,2.53525641,3.179487179,89
A2,AVLP_pr01-1,Ach,2.298076923,2.621794872,89
B1-1,WED-VLP-1,Ach,2.179487179,3.336538462,88
WV-WV-1,WED-VLP-1,GABA,2.326923077,3.256410256,88
WV-WV-3,A1,GABA,2.846153846,3.730769231,88
B1-2,WED-VLP-2,Ach,3.378205128,3.448717949,88
WV-WV-3,GF,GABA,3.048076923,3.179487179,87
B2,B1-2,GABA,2.298076923,3.105769231,87
B1-u,WED-VLP-2,Ach,4.092948718,3.669871795,87
B2,B1-7,GABA,2.634615385,2.358974359,87
B1-5,WED_pr02,Ach,3.051282051,3.5,87
B2,B1-7,GABA,2.644230769,2.519230769,87
B1-2,WED_pr02,Ach,3.903846154,3.445512821,86
A2,WED-VLP-1,Ach,2.291666667,3.272435897,86
WV-WV-3,WV-WV-3,GABA,2.53525641,2.778846154,86
WV-WV-2,WV-WV-2,GABA,2.996794872,3.355769231,86
WV-WV-3,GF,GABA,3.048076923,3.467948718,86
B2,B1-7,GABA,2.634615385,2.519230769,85
B1-4,GF,Ach,2.743589744,3.467948718,85
B1-2,WED-VLP-2,Ach,2.448717949,3.423076923,85
B1-2,WV-WV-1,Ach,2.663461538,2.631410256,85
WV-WV-1,WED_pr02,GABA,3.176282051,3.128205128,85
B1-1,WV-WV-1,Ach,2.179487179,2.631410256,85
B1-3,WED_pr02,Ach,3.256410256,3.445512821,84
WV-WV-2,WED_pr02,GABA,3.355769231,3.608974359,84
WED_pr02,WV-WV-1,GABA,3.445512821,2.631410256,84
WV-WV-2,WED_pr02,GABA,3.394230769,3.608974359,84
B1-2,WED_pr02,Ach,2.387820513,3.445512821,84
B1-3,WED_pr02,Ach,2.483974359,3.378205128,83
WV-WV-1,WED-VLP-1,GABA,2.631410256,3.310897436,83
WV-WV-2,WV-WV-2,GABA,2.996794872,3.394230769,83
B2,B1-7,GABA,2.150641026,2.746794872,83
WV-WV-1,WED-VLP-1,GABA,2.631410256,3.272435897,83
B1-2,WV-WV-1,Ach,2.387820513,2.631410256,83
B1-2,WED-VLP-2,Ach,3.586538462,3.669871795,82
WV-WV-3,A1,GABA,2.846153846,3.746794872,82
B2,B1-2,GABA,2.298076923,3.221153846,81
B1-2,WED_pr02,Ach,2.435897436,3.403846154,81
SAD_pr02,WV-WV-3,GABA,2.352564103,2.41025641,81
B1-5,WED_pr02,Ach,2.573717949,3.5,81
B1-3,WED_pr02,Ach,2.483974359,3.317307692,81
B1-3,WED_pr02,Ach,2.817307692,3.362179487,81
WV-WV-3,GF,GABA,2.53525641,3.467948718,80
B1-1,WV-WV-1,Ach,4.378205128,2.631410256,80
WV-WV-2,WV-WV-2,GABA,3.5,3.394230769,80
WV-WV-4,A2,GABA,2.987179487,2.298076923,80
B1-2,WV-WV-2,Ach,3.743589744,3.355769231,79
WV-WV-3,A1,GABA,2.846153846,3.823717949,79
WV-WV-3,A1,GABA,2.778846154,3.939102564,79
WED_pr02,A2,GABA,3.243589744,2.317307692,79
WV-WV-4,A2,GABA,2.987179487,2.317307692,78
A2,AVLP_pr01-1,Ach,2.317307692,2.592948718,78
WV-WV-1,WED-VLP-1,GABA,2.326923077,3.134615385,77
WV-WV-1,AVLP_pr01-1,GABA,2.326923077,3.041666667,77
A2,WED-VLP-1,Ach,2.298076923,3.310897436,77
B1-2,WED-VLP-2,Ach,2.448717949,3.346153846,77
WV-WV-3,WV-WV-3,GABA,2.326923077,2.41025641,77
AVLP_pr01-1,vpoEN,GABA,2.592948718,3.625,76
B1-4,WV-WV-3,Ach,2.560897436,2.78525641,76
A2,AVLP_pr23,Ach,2.291666667,3.144230769,76
WV-WV-2,WED_pr02,GABA,3.355769231,3.541666667,76
B1-3,WED_pr02,Ach,2.541666667,3.439102564,76
A2,AVLP_pr01-1,Ach,2.291666667,2.570512821,75
B2,B1-7,GABA,2.644230769,2.756410256,75
B1-1,WED-VLP-1,Ach,3.935897436,3.272435897,75
WV-WV-1,WED-VLP-1,GABA,3.176282051,3.314102564,75
B1-3,WED_pr02,Ach,2.833333333,3.378205128,75
WED_pr02,B1-1,GABA,3.147435897,2.141025641,75
A2,WED-VLP-1,Ach,2.298076923,3.272435897,75
B1-2,WED-VLP-2,Ach,3.596153846,3.647435897,74
B1-2,WED_pr02,Ach,2.387820513,3.403846154,74
AVLP_pr01-1,vpoEN,GABA,2.628205128,3.641025641,74
B1-2,WV-WV-2,Ach,3.105769231,3.394230769,74
B1-2,WED_pr02,Ach,2.435897436,3.445512821,74
WED_pr02,WED-VLP-1,GABA,3.243589744,3.272435897,74
B1-3,WED_pr02,Ach,2.509615385,3.439102564,74
WV-WV-1,WED_pr02,GABA,3.176282051,3.397435897,74
WV-WV-4,A2,GABA,2.987179487,2.310897436,73
WED_pr02,A2,GABA,3.147435897,2.317307692,73
SAD_pr02,WV-WV-3,GABA,2.211538462,2.53525641,73
B1-3,WV-WV-2,Ach,3.256410256,3.355769231,73
WED-VLP-1,AVLP_pr01-1,Ach,3.272435897,3.631410256,73
WV-WV-1,WED-VLP-1,GABA,2.326923077,3.262820513,73
B1-2,WV-WV-1,Ach,3.105769231,2.631410256,73
B1-u,WV-WV-1,Ach,3.201923077,3.176282051,73
B1-2,WV-WV-2,Ach,3.743589744,3.394230769,72
WV-WV-1,WED-VLP-1,GABA,2.326923077,3.253205128,72
B1-2,WV-WV-2,Ach,2.423076923,3.355769231,72
A2,AVLP_pr01-1,Ach,2.317307692,2.435897436,72
B1-2,WV-WV-2,Ach,3.221153846,3.394230769,71
B1-4,A1,Ach,2.58974359,3.939102564,71
B1-1,WED-VLP-1,Ach,4.240384615,3.272435897,71
B1-2,WED_pr02,Ach,3.240384615,3.128205128,71
B1-2,WV-WV-1,Ach,2.246794872,2.631410256,71
B1-2,WV-WV-1,Ach,2.435897436,3.176282051,71
A2,WED-VLP-1,Ach,2.291666667,3.310897436,71
B1-4,A1,Ach,2.560897436,3.939102564,70
WV-WV-3,A1,GABA,2.778846154,3.730769231,70
WV-WV-4,A2,GABA,2.987179487,2.291666667,70
A2,AVLP_pr23,Ach,2.317307692,3.240384615,69
B1-1,WED-VLP-1,Ach,2.179487179,3.310897436,69
B1-2,WED-VLP-2,Ach,2.298076923,3.448717949,69
B1-2,WED-VLP-2,Ach,3.743589744,3.560897436,69
vpoEN,pMN1,Ach,3.625,5.224358974,69
AVLP_pr23,AVLP_pr23,Ach,3.144230769,3.240384615,69
B1-3,WED_pr02,Ach,2.483974359,3.439102564,69
A2,WED-VLP-1,Ach,2.291666667,3.134615385,69
B1-2,WV-WV-2,Ach,2.387820513,3.355769231,69
B2,B1-6,GABA,2.727564103,3.016025641,68
A2,AVLP_pr23,Ach,2.310897436,3.144230769,68
B1-2,WED_pr02,Ach,3.221153846,3.439102564,68
B1-2,WV-WV-1,Ach,3.240384615,2.631410256,68
B1-2,WED-VLP-2,Ach,3.240384615,3.647435897,68
WED_pr02,WED_pr02,GABA,3.541666667,3.378205128,68
B1-2,WED_pr02,Ach,2.477564103,3.573717949,67
B1-3,WV-WV-2,Ach,2.717948718,3.394230769,67
B1-2,WED-VLP-2,Ach,2.435897436,3.423076923,67
pC2la,pMN1,Ach,5.333333333,5.224358974,67
B1-4,A1,Ach,3.163461538,3.730769231,67
B1-5,WED_pr02,Ach,3.365384615,3.608974359,66
WV-WV-1,WED-VLP-1,GABA,2.326923077,3.310897436,66
B1-5,WED_pr02,Ach,3.134615385,3.516025641,66
WV-WV-2,WED_pr02,GABA,3.355769231,3.5,66
B1-2,WV-WV-2,Ach,3.240384615,3.394230769,66
WV-WV-1,AVLP_pr23,GABA,2.631410256,3.240384615,66
B2,B1-5,GABA,2.644230769,2.939102564,66
WED_pr02,B1-5,GABA,3.564102564,3.051282051,66
B1-3,WV-WV-1,Ach,2.541666667,2.631410256,66
A2,AVLP_pr23,Ach,2.298076923,3.144230769,65
B1-4,WV-WV-3,Ach,3.163461538,2.326923077,65
B1-1,WED-VLP-1,Ach,4.378205128,3.253205128,65
WED-VLP-2,AVLP_pr01-2,Ach,3.413461538,3.935897436,65
WED_pr02,A2,GABA,3.096153846,2.317307692,65
B1-6,aPN3,Ach,5.067307692,5.176282051,65
B1-1,WED_pr02,Ach,2.141025641,3.243589744,65
B2,B1-4,GABA,2.727564103,2.560897436,64
WV-WV-1,WED-VLP-1,GABA,2.326923077,3.137820513,64
B1-2,WV-WV-2,Ach,2.448717949,2.996794872,64
B1-5,WED_pr01-1,Ach,3.365384615,4.019230769,64
WV-WV-3,A1,GABA,3.048076923,3.746794872,64
WED_pr02,WV-WV-1,GABA,3.403846154,3.176282051,64
B1-2,WED_pr02,Ach,2.477564103,3.403846154,64
B1-4,WV-WV-3,Ach,2.743589744,3.048076923,64
WV-WV-3,A1,GABA,2.778846154,3.823717949,64
B1-3,WED_pr02,Ach,2.653846154,3.397435897,64
B1-3,WED_pr02,Ach,2.833333333,3.564102564,64
B1-5,WED_pr02,Ach,3.240384615,3.608974359,64
B1-3,WED_pr02,Ach,3.256410256,3.378205128,64
B1-1,WED-VLP-1,Ach,2.169871795,3.224358974,64
B1-1,WED-VLP-1,Ach,2.108974359,3.272435897,64
WV-WV-1,WED-VLP-1,GABA,3.176282051,3.336538462,64
B1-5,WED_pr01-1,Ach,3.147435897,4.019230769,63
SAD_pr01,GF,GABA,2.320512821,3.467948718,63
B1-1,WED-VLP-1,Ach,2.141025641,3.336538462,63
WED-VLP-1,AVLP_pr01-2,Ach,3.336538462,3.935897436,63
B2,B1-2,GABA,2.298076923,3.240384615,63
B1-4,WV-WV-3,Ach,3.163461538,2.78525641,63
A2,AVLP_pr23,Ach,2.291666667,3.240384615,63
WV-WV-1,WED_pr02,GABA,2.326923077,3.378205128,62
B1-2,WED-VLP-2,Ach,2.387820513,3.346153846,62
B1-2,WV-WV-1,Ach,3.221153846,2.631410256,62
pC2la,pMN1,Ach,5.493589744,5.243589744,62
WV-WV-1,WV-WV-3,GABA,2.326923077,2.78525641,62
B1-2,WV-WV-2,Ach,3.221153846,3.355769231,62
B1-3,WV-WV-1,Ach,2.509615385,2.631410256,62
B1-1,WED-VLP-1,Ach,4.378205128,3.246794872,62
WED-VLP-2,AVLP_pr01-2,Ach,3.637820513,4.03525641,62
B1-3,WV-WV-2,Ach,2.483974359,3.355769231,62
B1-3,WV-WV-2,Ach,2.509615385,3.355769231,62
WED-VLP-1,AVLP_pr01-2,Ach,3.314102564,4.03525641,62
B2,B1-2,GABA,2.644230769,2.435897436,62
A2,WED-VLP-1,Ach,2.310897436,3.256410256,62
vpoEN,pMN2,Ach,3.641025641,5.314102564,62
vpoEN,pMN1,Ach,3.746794872,5.243589744,61
B1-3,WV-WV-2,Ach,3.256410256,3.394230769,61
vpoIN-1,pMN2,GABA,5.53525641,5.314102564,61
B1-2,WED_pr02,Ach,2.663461538,3.403846154,61
B1-2,WV-WV-1,Ach,3.378205128,2.631410256,61
WV-WV-1,WED_pr02,GABA,3.176282051,3.516025641,61
B1-2,WV-WV-2,Ach,2.387820513,2.996794872,61
WV-WV-1,WED-VLP-1,GABA,2.326923077,3.176282051,61
pC2la,pMN1,Ach,5.708333333,5.243589744,61
WED-VLP-1,AVLP_pr01-2,Ach,3.224358974,3.935897436,61
B1-3,WV-WV-2,Ach,2.717948718,3.355769231,61
WED-VLP-2,WED_pr02,Ach,3.336538462,3.147435897,61
WV-WV-3,A1,GABA,3.048076923,3.730769231,61
WED_pr02,WED_pr02,GABA,3.5,3.378205128,61
WED_pr02,WED-VLP-1,GABA,3.243589744,3.256410256,61
AVLP_pr01-1,vpoEN,GABA,2.435897436,3.625,61
B1-3,WED_pr02,Ach,2.817307692,3.516025641,61
B1-2,WED-VLP-2,Ach,2.246794872,3.336538462,61
A2,WED-VLP-1,Ach,2.291666667,3.262820513,61
B2,B1-4,GABA,2.634615385,2.426282051,61
B1-2,WED_pr02,Ach,3.743589744,3.573717949,60
A2,WED-VLP-1,Ach,2.291666667,3.176282051,60
B1-2,WED_pr02,Ach,2.298076923,3.403846154,60
B1-4,GF,Ach,2.766025641,3.179487179,60
B2,B1-7,GABA,2.21474359,2.746794872,60
WED-VLP-2,AVLP_pr01-2,Ach,3.448717949,4.03525641,60
A2,WED-VLP-1,Ach,2.310897436,3.224358974,60
WED_pr02,B1-5,GABA,3.541666667,3.028846154,60
B1-4,A1,Ach,3.163461538,3.823717949,60
WED_pr02,WED-VLP-1,GABA,3.147435897,3.272435897,60
WED-VLP-1,AVLP_pr01-2,Ach,3.310897436,3.823717949,60
B1-3,WV-WV-2,Ach,2.483974359,3.394230769,60
vpoEN,pMN1,Ach,3.740384615,5.224358974,60
B1-2,AVLP_pr23,Ach,2.448717949,3.144230769,60
B1-2,WED_pr02,Ach,3.903846154,3.397435897,59
A1,GF,inconclusive,3.746794872,3.467948718,59
WED_pr02,WED_pr02,GABA,3.608974359,3.564102564,59
B1-4,A1,Ach,2.58974359,3.730769231,59
WV-WV-1,WV-WV-1,GABA,2.631410256,3.176282051,59
B1-3,WED_pr02,Ach,2.817307692,3.397435897,59
B1-3,WED_pr02,Ach,2.817307692,3.317307692,59
A2,WED-VLP-1,Ach,2.317307692,3.314102564,59
B1-1,WED-VLP-1,Ach,4.378205128,3.256410256,59
B1-1,WED-VLP-1,Ach,4.378205128,3.262820513,59
B1-2,AVLP_pr23,Ach,2.435897436,3.240384615,59
WED_pr02,A2,GABA,3.147435897,2.310897436,59
WED-VLP-2,WV-WV-1,Ach,3.423076923,3.176282051,58
A2,WED-VLP-1,Ach,2.310897436,3.246794872,58
WV-WV-1,WED-VLP-1,GABA,2.326923077,3.246794872,58
B1-2,WV-WV-1,Ach,2.298076923,2.631410256,58
B1-1,WED-VLP-1,Ach,4.240384615,3.310897436,58
B1-4,A1,Ach,2.560897436,3.823717949,58
B1-4,GF,Ach,3.169871795,3.467948718,58
WV-WV-3,A1,GABA,2.846153846,4.294871795,58
WV-WV-3,A1,GABA,2.53525641,3.823717949,58
B1-4,A1,Ach,3.163461538,3.746794872,58
B1-3,WED_pr02,Ach,2.717948718,3.516025641,58
B1-3,WED_pr02,Ach,2.653846154,3.541666667,57
A2,AVLP_pr23,Ach,2.298076923,3.240384615,57
WED_pr02,A2,GABA,3.378205128,2.291666667,57
AVLP_pr18-2,AVLP_pr18-2,Inconclusive,5.807692308,5.830128205,57
B1-2,WED_pr02,Ach,3.596153846,3.128205128,57
AVLP_pr01-1,vpoEN,GABA,2.682692308,3.625,57
WV-WV-3,GF,GABA,2.778846154,3.179487179,57
B1-1,WED-VLP-1,Ach,2.141025641,3.314102564,57
B1-6,aPN3,Ach,4.708333333,5.096153846,57
B1-2,WV-WV-2,Ach,3.903846154,3.355769231,57
WV-WV-3,WV-WV-3,GABA,2.326923077,2.78525641,57
B1-3,WED_pr02,Ach,2.717948718,3.445512821,57
B1-3,WED_pr02,Ach,2.541666667,3.573717949,57
B1-u,WED-VLP-1,Ach,2.185897436,3.310897436,56
pC2la,pMN1,Ach,5.762820513,5.243589744,56
B1-2,WED_pr02,Ach,3.378205128,3.128205128,56
A2,AVLP_pr01-1,Ach,2.298076923,2.570512821,56
